candidate_id,rank,score,reasoning
CAND_0081846,1,70.6639,"Lead AI Engineer with 6.7 years of experience. Verified core AI/Search expertise in qdrant, elasticsearch, embeddings. Verified availability with a 73% platform response rate."
CAND_0018499,2,68.7613,"Senior Machine Learning Engineer with 7.2 years of experience. Verified core AI/Search expertise in pinecone, weaviate, milvus. Verified availability with a 61% platform response rate."
CAND_0046064,3,68.5355,"Senior NLP Engineer with 8.9 years of experience. Verified core AI/Search expertise in pinecone, elasticsearch, opensearch. Verified availability with a 78% platform response rate."
CAND_0011162,4,68.2452,"Recommendation Systems Engineer with 5.8 years of experience. Verified core AI/Search expertise in faiss, pinecone, weaviate. Verified availability with a 75% platform response rate."
CAND_0001494,5,68.1004,"Data Scientist with 6.4 years of experience. Verified core AI/Search expertise in weaviate, nlp, search. Verified availability with a 30% platform response rate."
CAND_0011687,6,68.0381,"Senior NLP Engineer with 7.8 years of experience. Verified core AI/Search expertise in faiss, weaviate, opensearch. Verified availability with a 89% platform response rate."
CAND_0033861,7,67.9868,"Senior NLP Engineer with 8.0 years of experience. Verified core AI/Search expertise in pinecone, weaviate, qdrant. Verified availability with a 16% platform response rate."
CAND_0065277,8,67.9674,"Computer Vision Engineer with 6.3 years of experience. Verified core AI/Search expertise in milvus, sentence transformers, llm. Verified availability with a 37% platform response rate."
CAND_0046525,9,67.8019,"Senior Machine Learning Engineer with 6.1 years of experience. Verified core AI/Search expertise in qdrant, elasticsearch, sentence transformers. Verified availability with a 88% platform response rate."
CAND_0086022,10,67.7094,"Senior Applied Scientist with 5.3 years of experience. Verified core AI/Search expertise in pinecone, elasticsearch, embeddings. Verified availability with a 55% platform response rate."
CAND_0049615,11,67.7092,"ML Engineer with 5.1 years of experience. Verified core AI/Search expertise in pinecone, pytorch, nlp. Verified availability with a 28% platform response rate."
CAND_0002120,12,67.5847,"ML Engineer with 6.5 years of experience. Verified core AI/Search expertise in pinecone, qdrant, embeddings. Verified availability with a 72% platform response rate."
CAND_0071974,13,67.4586,"Senior AI Engineer with 7.8 years of experience. Verified core AI/Search expertise in pinecone, weaviate, qdrant. Verified availability with a 76% platform response rate."
CAND_0075574,14,67.455,"Machine Learning Engineer with 5.7 years of experience. Verified core AI/Search expertise in weaviate, qdrant, elasticsearch. Verified availability with a 57% platform response rate."
CAND_0008425,15,67.4277,"Senior NLP Engineer with 7.8 years of experience. Verified core AI/Search expertise in qdrant, sentence transformers, hugging face. Verified availability with a 66% platform response rate."
CAND_0003557,16,67.4203,"ML Engineer with 6.8 years of experience. Verified core AI/Search expertise in weaviate, elasticsearch, sentence transformers. Verified availability with a 47% platform response rate."
CAND_0058412,17,67.3593,"Senior Software Engineer (ML) with 6.6 years of experience. Verified core AI/Search expertise in milvus, embeddings, llm. Verified availability with a 43% platform response rate."
CAND_0032179,18,67.3401,"Computer Vision Engineer with 6.4 years of experience. Verified core AI/Search expertise in weaviate, embeddings, pytorch. Verified availability with a 46% platform response rate."
CAND_0010603,19,67.3348,"ML Engineer with 5.3 years of experience. Verified core AI/Search expertise in opensearch, search, retrieval. Verified availability with a 94% platform response rate."
CAND_0099751,20,67.3342,"Junior ML Engineer with 5.5 years of experience. Verified core AI/Search expertise in weaviate, sentence transformers, hugging face. Verified availability with a 64% platform response rate."
CAND_0091909,21,67.3322,"Machine Learning Engineer with 6.9 years of experience. Verified core AI/Search expertise in pinecone, qdrant, opensearch. Verified availability with a 65% platform response rate."
CAND_0045613,22,67.3237,"Computer Vision Engineer with 5.0 years of experience. Verified core AI/Search expertise in pinecone, qdrant, embeddings. Verified availability with a 63% platform response rate."
CAND_0054829,23,67.2375,Computer Vision Engineer with 5.7 years of experience. Verified core AI/Search expertise in pinecone. Verified availability with a 75% platform response rate.
CAND_0083852,24,67.2348,"Data Scientist with 6.0 years of experience. Verified core AI/Search expertise in pinecone, qdrant, sentence transformers. Verified availability with a 85% platform response rate."
CAND_0044222,25,67.2109,"AI Engineer with 7.7 years of experience. Verified core AI/Search expertise in weaviate, qdrant, opensearch. Verified availability with a 60% platform response rate."
CAND_0018549,26,67.1812,"Recommendation Systems Engineer with 6.8 years of experience. Verified core AI/Search expertise in weaviate, qdrant, milvus. Verified availability with a 73% platform response rate."
CAND_0068932,27,67.137,"ML Engineer with 5.2 years of experience. Verified core AI/Search expertise in milvus, opensearch, search. Verified availability with a 82% platform response rate."
CAND_0095567,28,67.1361,"Data Scientist with 5.1 years of experience. Verified core AI/Search expertise in weaviate, milvus, hugging face. Verified availability with a 52% platform response rate."
CAND_0051630,29,67.1351,"Machine Learning Engineer with 6.0 years of experience. Verified core AI/Search expertise in elasticsearch, opensearch, embeddings. Verified availability with a 51% platform response rate."
CAND_0042029,30,67.1309,"Senior Data Scientist with 6.5 years of experience. Verified core AI/Search expertise in weaviate, elasticsearch, opensearch. Verified availability with a 67% platform response rate."
CAND_0061175,31,67.0902,"AI Research Engineer with 6.7 years of experience. Verified core AI/Search expertise in qdrant, milvus, sentence transformers. Verified availability with a 48% platform response rate."
CAND_0087766,32,67.084,"Computer Vision Engineer with 5.1 years of experience. Verified core AI/Search expertise in faiss, elasticsearch, hugging face. Verified availability with a 33% platform response rate."
CAND_0053591,33,67.0803,"AI Engineer with 5.3 years of experience. Verified core AI/Search expertise in qdrant, milvus, opensearch. Verified availability with a 81% platform response rate."
CAND_0048166,34,67.0563,"ML Engineer with 5.2 years of experience. Verified core AI/Search expertise in pinecone, qdrant, milvus. Verified availability with a 48% platform response rate."
